"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","6.1","","","","1"
"2019-02","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","6.1","","","","1"
"2019-03","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","6.3","","","","1"
"2019-04","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.9","","","","1"
"2019-05","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.5","","","","1"
"2019-06","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.3","","","","1"
"2019-07","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","6.0","","","","1"
"2019-08","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","6.3","","","","1"
"2019-09","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.1","","","","1"
"2019-10","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.0","","","","1"
"2019-11","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.4","","","","1"
"2019-12","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.2","","","","1"
"2020-01","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.9","","","","1"
"2020-02","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","6.0","","","","1"
"2020-03","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.9","","","","1"
"2020-04","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","14.0","","","","1"
"2020-05","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","14.3","","","","1"
"2020-06","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","11.9","","","","1"
"2020-07","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","11.4","","","","1"
"2020-08","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","11.1","","","","1"
"2020-09","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.4","","","","1"
"2020-10","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.2","","","","1"
"2020-11","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.0","","","","1"
"2020-12","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.2","","","","1"
"2021-01","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","9.8","","","","1"
"2021-02","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.8","","","","1"
"2021-03","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.2","","","","1"
"2021-04","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.5","","","","1"
"2021-05","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.4","","","","1"
"2021-06","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","7.4","","","","1"
"2021-07","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","7.7","","","","1"
"2021-08","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","8.1","","","","1"
"2021-09","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","6.5","","","","1"
"2021-10","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.9","","","","1"
"2021-11","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.7","","","","1"
"2021-12","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.4","","","","1"
"2022-01","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","6.9","","","","1"
"2022-02","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.7","","","","1"
"2022-03","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.7","","","","1"
"2022-04","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.5","","","","1"
"2022-05","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","5.1","","","","1"
"2022-06","Canada","2021A000011124","Unemployment rate","Total, all education levels","Total - Gender","15 years and over","Percent","239","units","0","v2627992","1.8.1.1.1","4.7","","","","1"
